State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Manipur,Imphal West,Imphal West-II C.D.Block,Kodompokpi,569610.0,market shed,kodompokpi,2020-09-10 19:04:10.487004,Agro ,Mandi (Notified),24.73677383,93.87692636
Manipur,Imphal West,Imphal West-II C.D.Block,Kodompokpi,569610.0,mekola gulap higher secondary school,kodompokpi,2020-09-10 19:04:26.313004,Education ,High School - General,24.73684007,93.87622826
Manipur,Thoubal,Thoubal C.D.Block,Leishangthem,625191.0,Leishangthem Veterinary Hospital,Leishangthem,2020-07-09 21:27:57.423004,Medical ,Veterinary Hospital,24.631033333333,93.932063333333
Manipur,Thoubal,Thoubal C.D.Block,Leishangthem,625191.0,Leishangthem gram panchayat Office,Leishangthem,2020-07-09 21:24:14.696997,Transport/Admin,Panchayat Headquarter,24.631623333333,93.932613333333
Manipur,Thoubal,Thoubal C.D.Block,Leishangthem,625191.0,Leishangthem Kelimakhong Bus Stand,Leishangthem Kelimakhong,2020-07-09 20:53:36.239997,Transport/Admin,Bus Stand,24.6355,93.939113333333
Manipur,Thoubal,Thoubal C.D.Block,Leishangthem,625191.0,Leishangthem Awang leikai Market Shed,Leishanghthem Awang Leikai,2020-07-09 20:56:16.630002,Agro ,Mandi (Notified),24.632623333333,93.93658
Manipur,Thoubal,Thoubal C.D.Block,Leishangthem,625191.0,PHC leishangthem,Leishangthem,2020-07-09 21:29:59.500000,Medical ,Primary Health Centre,24.630701666667,93.930835
Manipur,Thoubal,Thoubal C.D.Block,Loukhamayum,632300.0,Waiting Shed Loukham Leirak Makha leikai ,Loukham Leirak Makha Leikai,2020-07-21 19:50:01.230000,Transport/Admin,Bus Stand,24.633573333333,93.997926666667
Manipur,Senapati,Kangpokpi T.D.Block,Lungpou Nepali,633872.0,MBC Higher Secondary School,Lungpou Nepali,2020-06-23 20:01:14.603002,Education ,Higher Secondary School,25.16327371,93.96454181
Manipur,Senapati,Kangpokpi T.D.Block,Lungpou Nepali,633872.0,Bus Stand,Lungphou Nepali,2020-06-24 21:23:21.470001,Transport/Admin,Bus Stand,25.17355868,93.95642946
